smiles,IC50_uM,pIC50,bin_activity,Standard Value,Standard Units,Standard Relation,Assay Organism,Target ChEMBL ID,Target Name,serotype
CNC(=O)[C@H](Nc1cc(CN)cc(-c2nn[nH]n2)c1)c1cc(Cl)cc(C2CC2)c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2ccncc12,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Cn1cc2cc(Cl)cc(C(=O)Nc3ccc4c(c3)CNC4)c2n1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1ccc2[nH]ccc2c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N#Cc1cc2c(cc1NC(=O)c1cc(F)cc3[nH]ncc13)CNC2,59.669,4.2242512404887504,0,59669.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
CCc1cc(C(=O)Nc2cccc(-n3nn[nH]c3=O)c2)sc1-c1ccc(Cl)cc1,11.401,4.943057054327123,0,11401.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]ncc12,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
c1cc(C2CCN(Cc3c[nH]c4ccccc34)CC2)c2ccncc2c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,0.92,6.036212172654444,1,920.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Cc1[nH]c2ccccc2c1CN1CCC(c2c[nH]c3ncccc23)CC1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C1Cc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc2N1,5.256,5.279344643448276,1,5256.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
Cn1c(=O)[nH]c2c(C(=O)Nc3ccc4c(c3)CNC4)cc(Br)cc21,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]c(-c3ccccc3)nc12,1.242,5.905878404159439,1,1242.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
NCCc1csc2cc(C(=O)Nc3cc([C@H]4CCOC4)ccn3)ccc12,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 1,CHEMBL5705862,NS3 protease,1
COc1cc(-c2cc(NC(=O)c3cc(F)cc4[nH]ncc34)cc3c2CNC3)ccn1,82.838,4.08177039504475,0,82838.0,nM,'=',dengue virus type 1,CHEMBL5705862,NS3 protease,1
O=C(Nc1cc2c(c(C3=CCOCC3)c1)CNC2)c1cc(F)cc2[nH]ncc12,8.469,5.072167867133418,1,8469.0,nM,'=',dengue virus type 3,CHEMBL5705863,NS3 protease,3
COc1cc(-c2cc(NC(=O)c3cc(F)cc4[nH]ncc34)cc3c2CNC3)ccn1,12.911,4.889040118875122,0,12911.0,nM,'=',dengue virus type 3,CHEMBL5705863,NS3 protease,3
O=C(NC1CCOCC1)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,53.424,4.272263598289705,0,53424.0,nM,'=',dengue virus type 3,CHEMBL5705863,NS3 protease,3
O=C(NCCC1CC1)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 3,CHEMBL5705863,NS3 protease,3
O=C(Nc1cc(Br)c2c(c1)CNC2)c1cc(F)cc2[nH]ncc12,14.995,4.824053529904454,0,14995.0,nM,'=',dengue virus type 3,CHEMBL5705863,NS3 protease,3
O=C(Nc1ccc2c(c1)CNC2)c1cccc2nc(O)ccc12,99.5,4.002176919254275,0,99500.0,nM,'>',dengue virus type 3,CHEMBL5705863,NS3 protease,3
N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccc(CN)cc1)NC(=O)c1ccccc1)B(O)O,0.784,6.105683937315561,1,784.0,nM,'=',dengue virus type 3,CHEMBL5705863,NS3 protease,3
Cc1ccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)cc1CN,57.739,4.2385307420736344,0,57739.0,nM,'=',dengue virus type 3,CHEMBL5705863,NS3 protease,3
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3ccc(F)cc3)nc12,2.955,5.529442514782726,1,2955.0,nM,'=',dengue virus type 3,CHEMBL5705863,NS3 protease,3
CC(C)(c1nc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(F)cc2[nH]1)S(C)(=O)=O,13.646,4.864994633056113,0,13646.0,nM,'=',dengue virus type 3,CHEMBL5705863,NS3 protease,3
Cc1ccccc1-c1nc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(F)cc2[nH]1,2.196,5.658367664221946,1,2196.0,nM,'=',dengue virus type 3,CHEMBL5705863,NS3 protease,3
NCc1ccc(-c2csc3cc(C(=O)Nc4ccc5c(c4)CNC5)ccc23)cc1,31.579,4.500601626745652,0,31579.0,nM,'=',dengue virus type 3,CHEMBL5705863,NS3 protease,3
N#Cc1ccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)cc1,1.704,5.768530409569319,1,1704.0,nM,'=',dengue virus type 3,CHEMBL5705863,NS3 protease,3
